0.518538	0.603330	00dry
1.322434	1.343632	01wet
2.336681	2.400275	02wet
2.677481	3.456918	03splash
3.678682	3.714556	04dry
4.255107	4.270190	05dry
4.904910	4.961981	06wet
6.478459	6.546945	07wet
7.013303	7.106249	08woof
7.531841	7.654137	09wet
7.750344	8.811879	10birds
8.837969	8.909716	11dry
9.315741	9.341831	12wet
9.883197	9.928854	13wet
11.437179	11.592088	14wet
12.365003	12.395985	15wet
13.328700	13.403709	16wet
14.492964	14.576126	17wet
15.613813	15.624004	18dry
15.934434	16.033901	19wet
16.765235	18.103160	20rhythm
18.142295	18.298835	21dry
19.120668	19.192415	22wet
20.162635	20.293085	23dry
20.886631	20.992621	24wet
22.546604	22.717819	25dry
23.621183	23.681516	26wet
24.651736	24.715330	27dry
25.943188	25.962756	28dry
26.308448	26.357366	29wet
27.021029	27.065056	30wet
27.906457	28.030384	31dry
28.560336	28.586426	32dry
