0.313482	0.313482	t0
1.048740	1.048740	t1
1.715602	1.715602	t2
2.354536	2.354536	t3
3.047046	3.047046	t4
3.739557	3.739557	t5
4.457716	4.457716	t6
5.091520	5.091520	t7
5.741283	5.741283	t8
6.351718	6.351718	t9
7.157652	7.157652	t10
7.833633	7.833633	t11
8.430389	8.430389	t12
9.166787	9.166787	t13
9.900335	9.900335	t14
10.627044	10.627044	t15
11.379971	11.379971	t16
12.112949	12.112949	t17
12.819709	12.819709	t18
13.550977	13.550977	t19
14.303334	14.303334	t20
15.023203	15.023203	t21
15.676386	15.676386	t22
16.362057	16.362057	t23
17.093325	17.093325	t24
17.818894	17.818894	t25
18.495445	18.495445	t26
19.163732	19.163732	t27
19.830879	19.830879	t28
