0.115886	0.460611	air	0.12846823036671	0.82527178525925
1.618005	2.030208	earth	0.14672903716564	0.96690618991852
3.145062	3.640878	fire	0.14532819390297	0.94548398256302
4.752798	5.140063	water	0.1399777084589	0.69436293840408
6.489623	7.001576	grass	0.17714181542397	0.75092279911041
8.081224	8.660655	trees	0.074093371629715	0.52040553092957
9.70363	10.315332	worms	0.055663835257292	0.5032696723938
11.317234	11.920135	eagles	0.054762788116932	0.71079117059708
12.971912	13.620288	mountains	0.090725980699062	0.87463515996933
14.66473	15.455396	waterfalls	0.19679208099842	1.0024960041046
16.430893	17.137945	glaciers	0.064548522233963	0.66026282310486
18.040097	18.700207	plains	0.10112049430609	0.58923721313477
19.727046	20.32408	oceans	0.068306848406792	0.67416334152222
